species,conifer,crops,hilli,mixed_for,moor_heath,ndvi,pasture,peat,precsea,realmat,scrub,sparse_veg,tempsea,wbann
Lepus_timidus_timidus,-0.697867323,0.511571824,-0.593325046,2.728098102,-0.343897062,0.381941007,1.191365302,-0.301509071,0.636939689,-0.247493156,-0.425024934,-0.275216281,1.089594241,-0.51938073
Lepus_timidus_timidus,0.514003253,0.511571824,-0.582350513,-0.490400795,-0.343897062,0.239371606,-0.455179978,-0.301509071,0.636939689,-0.398195455,-0.425024934,-0.275216281,1.166818651,-0.507555528
Lepus_timidus_timidus,-0.697867323,1.677013735,-0.565888783,1.118848654,-0.343897062,0.239371606,-0.455179978,-0.301509071,0.636939689,-0.197259056,-0.425024934,-0.275216281,1.084247935,-0.570062807
Lepus_timidus_timidus,1.119938541,-0.653870086,-0.626248507,1.923473378,-0.343897062,0.334417874,-0.455179978,-0.301509071,0.514348281,-0.222376106,-0.425024934,-0.275216281,1.058704476,-0.549317578
Lepus_timidus_timidus,0.514003253,1.677013735,-0.489067329,0.314223929,-0.343897062,0.239371606,-0.455179978,-0.301509071,0.636939689,-0.322844305,-0.425024934,-0.275216281,1.134146785,-0.552215219
Lepus_timidus_timidus,1.725873829,1.677013735,-0.576863316,-0.490400795,-0.343897062,0.191848472,-0.455179978,-0.301509071,0.636939689,-0.272610205,-0.425024934,-0.275216281,1.124048208,-0.583287409
Lepus_timidus_timidus,0.514003253,-0.653870086,-0.615273974,-0.490400795,-0.343897062,0.619556677,-0.455179978,-0.301509071,0.759531096,-0.071673807,1.993097114,-0.275216281,0.884652536,-0.512416741
Lepus_timidus_timidus,1.119938541,-0.653870086,-0.598812244,1.118848654,-0.343897062,0.429464468,0.368092662,2.577090861,0.391756873,-0.197259056,-0.425024934,-0.275216281,1.026626644,-0.558366764
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.307988157,-0.490400795,-0.343897062,0.572033217,-0.455179978,-0.301509071,0.636939689,0.305081941,-0.425024934,-0.275216281,-0.73943622,1.636925863
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.33542442,-0.490400795,-0.343897062,0.096803183,-0.455179978,-0.301509071,0.636939689,0.305081941,-0.425024934,-0.275216281,-0.650331131,1.383062883
Lepus_timidus_timidus,0.514003253,-0.653870086,-0.148858051,2.32578574,-0.343897062,0.096803183,-0.455179978,-0.301509071,0.514348281,0.330198991,-0.425024934,-0.275216281,-0.637856418,1.335061748
Lepus_timidus_timidus,2.028841473,-0.653870086,-0.428707605,-0.490400795,-0.343897062,0.381941007,-0.455179978,-0.301509071,0.636939689,0.254847841,-0.425024934,-0.275216281,-0.683597031,1.457468375
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.597407425,-0.490400795,-0.343897062,0.381941007,-0.455179978,-0.301509071,0.391756873,0.028794393,-0.425024934,-0.275216281,-0.654489368,1.697076891
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.076118976,-0.490400795,-0.343897062,0.381941007,-0.455179978,-0.301509071,0.514348281,0.129262592,-0.425024934,-0.275216281,-0.673498454,1.585862231
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.076118976,-0.490400795,-0.343897062,0.381941007,-0.455179978,-0.301509071,0.514348281,0.129262592,-0.425024934,-0.275216281,-0.673498454,1.585862231
Lepus_timidus_timidus,1.725873829,0.511571824,-0.126909123,-0.490400795,-0.343897062,0.762126405,-0.455179978,-0.301509071,0.391756873,-0.046556757,-0.425024934,-0.275216281,-0.672310386,1.837808996
Lepus_timidus_timidus,1.725873829,0.511571824,-0.126909123,-0.490400795,-0.343897062,0.762126405,-0.455179978,-0.301509071,0.391756873,-0.046556757,-0.425024934,-0.275216281,-0.672310386,1.837808996
Lepus_timidus_timidus,-0.697867323,2.842455645,-0.598812244,-0.490400795,-0.343897062,0.381941007,1.603001622,-0.301509071,0.514348281,-0.222376106,-0.425024934,-0.275216281,0.977915862,-0.607962831
Lepus_timidus_timidus,-0.697867323,0.511571824,-0.604299579,-0.490400795,-0.343897062,0.049279723,-0.455179978,-0.301509071,1.004713912,-0.272610205,-0.425024934,-0.275216281,1.079495664,-0.632110856
Lepus_timidus_timidus,1.725873829,0.511571824,-0.170807117,-0.490400795,-0.343897062,0.572033217,-0.455179978,-0.301509071,0.636939689,0.179496692,-0.425024934,-0.275216281,-0.647954995,1.692603694
Lepus_timidus_timidus,1.119938541,-0.653870086,-0.598812244,1.923473378,-0.343897062,0.381941007,-0.455179978,-0.301509071,0.514348281,-0.197259056,-0.425024934,-0.275216281,1.013557898,-0.588085836
Lepus_timidus_timidus,2.028841473,-0.653870086,-0.236654038,-0.490400795,-0.343897062,0.714602618,-0.455179978,0.849930902,0.269165465,-0.071673807,-0.425024934,-0.275216281,-0.535088549,1.429955765
Lepus_timidus_timidus,2.028841473,-0.653870086,-0.236654038,-0.490400795,-0.343897062,0.714602618,-0.455179978,0.849930902,0.269165465,-0.071673807,-0.425024934,-0.275216281,-0.535088549,1.429955765
Lepus_timidus_timidus,-0.697867323,0.511571824,0.010272055,-0.490400795,-0.343897062,-0.47347475,-0.455179978,-0.301509071,0.636939689,0.104145542,-0.425024934,-0.275216281,-0.892696973,2.632215743
Lepus_timidus_timidus,0.816970897,0.511571824,0.021246588,-0.490400795,-0.343897062,0.619556677,-0.455179978,-0.301509071,0.391756873,-0.021439707,-0.425024934,-0.275216281,-0.594491942,1.513070146
Lepus_timidus_timidus,-0.697867323,1.677013735,-0.62076131,1.118848654,-0.343897062,0.239371606,-0.455179978,-0.301509071,0.391756873,-0.121907906,-0.425024934,-0.275216281,0.835941754,-0.504307006
