(Sub-)species,Code,PC1,PC2,PC3,PC4,pca1.g1,pca2.g2,pca3.g2,pca4.g2
L.t. timidus,5,3.077,-0.173,1.312,0.535,-3.652,-0.402,-1.887,-1.11
L.t. timidus,5,3.312,-0.125,1.674,0.929,-3.887,-0.45,-2.249,-1.504
L.t. timidus,5,2.492,-0.572,-0.433,-1.163,-3.067,-0.004,-0.142,0.587
L.t. timidus,5,3.117,-0.054,1.367,0.642,-3.693,-0.522,-1.943,-1.217
L.t. timidus,5,1.363,-1.067,-1.458,-1.094,-1.938,0.491,0.883,0.519
L.t. timidus,5,1.782,-1.275,-1.207,-1.548,-2.357,0.7,0.631,0.972
L.t. timidus,5,2.808,-0.929,-0.423,-1.351,-3.383,0.354,-0.152,0.776
L.t. timidus,5,2.878,-0.431,-0.767,0.816,-3.453,-0.144,0.192,-1.391
L.t. timidus,5,2.179,0.221,0.977,0.063,-2.754,-0.796,-1.553,-0.639
L.t. timidus,5,3.429,-0.293,1.018,0.507,-4.004,-0.282,-1.594,-1.082
L.t. timidus,5,2.997,-0.41,0.414,-0.911,-3.573,-0.165,-0.99,0.335
L.t. timidus,5,3.405,-0.33,1.152,-0.156,-3.98,-0.245,-1.727,-0.42
L.t. timidus,5,3.07,-0.416,0.163,-0.594,-3.645,-0.159,-0.738,0.018
L.t. timidus,5,2.341,-0.943,-0.312,-0.491,-2.916,0.368,-0.264,-0.085
L.t. timidus,5,3.405,-0.411,1.09,-0.357,-3.981,-0.164,-1.666,-0.218
L.t. timidus,5,2.382,-0.656,-0.421,-1.134,-2.957,0.081,-0.154,0.559
L.t. timidus,5,2.437,0.022,0.666,0.038,-3.012,-0.597,-1.241,-0.613
L.t. timidus,5,3.245,-0.254,0.716,0.212,-3.821,-0.321,-1.291,-0.788
L.t. timidus,5,0.101,0.693,-0.039,-0.006,-0.676,-1.269,-0.537,-0.569
L.t. timidus,5,0.101,0.693,-0.039,-0.006,-0.676,-1.269,-0.537,-0.569
L.t. timidus,5,3.261,-0.364,-0.19,0.9,-3.837,-0.211,-0.385,-1.476
L.t. timidus,5,2.115,0.228,-2.139,1.925,-2.69,-0.803,1.564,-2.5
L.t. timidus,5,1.239,1.365,-2.425,2.843,-1.814,-1.941,1.85,-3.418
L.t. timidus,5,2.046,-0.166,-0.911,-0.425,-2.622,-0.409,0.335,-0.15
L.t. timidus,5,2.761,-0.284,0.407,-0.747,-3.336,-0.291,-0.982,0.172
L.t. timidus,5,3.075,-0.169,-0.538,1.547,-3.65,-0.407,-0.037,-2.122
L.t. timidus,5,3.509,-0.193,1.262,0.143,-4.085,-0.383,-1.837,-0.718
L.t. timidus,5,2.967,-0.709,0.142,-0.545,-3.543,0.133,-0.717,-0.03
L.t. timidus,5,1.806,-0.703,-1.08,-0.921,-2.381,0.128,0.505,0.346
L.t. timidus,5,3.243,-0.658,0.845,0.684,-3.818,0.083,-1.421,-1.26
L.t. timidus,5,2.973,-0.798,0.095,-0.528,-3.548,0.222,-0.67,-0.048
L.t. timidus,5,3.097,-0.049,-0.829,2.564,-3.672,-0.526,0.254,-3.14
L.t. timidus,5,3.152,-0.176,-0.95,1.061,-3.727,-0.399,0.375,-1.636
L.t. timidus,5,2.599,-0.043,0.155,-0.17,-3.175,-0.532,-0.73,-0.405
L.t. timidus,5,3.103,-0.197,-1.002,0.459,-3.679,-0.378,0.426,-1.034
L.t. timidus,5,1.482,0.041,0.227,-0.101,-2.057,-0.616,-0.803,-0.474
L.t. timidus,5,1.409,1.37,-1.682,3.037,-1.984,-1.945,1.107,-3.612
L.t. timidus,5,1.409,1.37,-1.682,3.037,-1.984,-1.945,1.107,-3.612
L.t. timidus,5,2.722,-0.73,-0.533,-0.463,-3.297,0.154,-0.042,-0.112
L.t. timidus,5,3.312,-0.232,1.091,0.142,-3.887,-0.343,-1.666,-0.718
L.t. timidus,5,1.793,-0.966,-1.522,-1.206,-2.368,0.39,0.946,0.631
L.t. timidus,5,2.718,-0.957,-0.304,-1.359,-3.293,0.381,-0.272,0.783
L.t. timidus,5,2.806,-0.498,-0.45,-1.256,-3.381,-0.078,-0.125,0.681
L.t. timidus,5,3.358,-0.344,-0.09,0.961,-3.933,-0.231,-0.485,-1.536
L.t. timidus,5,2.976,-0.468,0.531,-0.757,-3.551,-0.108,-1.106,0.182
L.t. timidus,5,3.514,-0.351,0.937,0.508,-4.089,-0.224,-1.512,-1.083
L.t. timidus,5,0.266,1.895,0.727,-0.706,-0.842,-2.47,-1.303,0.13
L.t. timidus,5,0.266,1.895,0.727,-0.706,-0.842,-2.47,-1.303,0.13
L.t. timidus,5,0.296,3.024,-1.178,0.849,-0.871,-3.599,0.603,-1.424
L.t. timidus,5,0.954,1.127,-0.275,1.639,-1.529,-1.702,-0.301,-2.214
L.t. timidus,5,0.954,1.127,-0.275,1.639,-1.529,-1.702,-0.301,-2.214
L.t. timidus,5,3.166,0.052,1.742,1.019,-3.741,-0.627,-2.317,-1.594
L.t. timidus,5,2.712,-0.445,0.579,0.013,-3.287,-0.131,-1.154,-0.588
L.t. timidus,5,2.088,-0.625,-0.132,-0.259,-2.663,0.049,-0.444,-0.317
L.t. timidus,5,2.172,0.079,0.967,0.046,-2.747,-0.654,-1.542,-0.621
L.t. timidus,5,2.172,0.079,0.967,0.046,-2.747,-0.654,-1.542,-0.621
L.t. timidus,5,2.994,-0.17,-0.819,-0.554,-3.569,-0.405,0.243,-0.021
L.t. timidus,5,2.747,-0.384,-0.481,-1.173,-3.322,-0.191,-0.094,0.597
L.t. timidus,5,2.844,0.028,0.916,-0.224,-3.419,-0.604,-1.491,-0.351
L.t. timidus,5,2.895,-0.285,-0.078,-0.867,-3.47,-0.29,-0.497,0.292
L.t. timidus,5,2.8,-0.537,-0.448,-1.247,-3.375,-0.038,-0.127,0.672
L.t. timidus,5,3.108,-0.074,-2.239,1.92,-3.683,-0.501,1.664,-2.495
L.t. timidus,5,3.372,-0.372,0.898,-0.09,-3.948,-0.204,-1.473,-0.485
L.t. timidus,5,0.648,2.914,-0.81,-0.406,-1.224,-3.49,0.235,-0.169
L.t. timidus,5,0.621,0.402,0.598,0.628,-1.197,-0.977,-1.173,-1.203
L.t. timidus,5,3.782,-0.255,0.204,2.212,-4.357,-0.32,-0.779,-2.787
L.t. timidus,5,-0.266,-0.125,-1.11,-0.839,-0.309,-0.45,0.534,0.263
L.t. timidus,5,-0.266,-0.125,-1.11,-0.839,-0.309,-0.45,0.534,0.263
L.t. timidus,5,3.368,-0.381,0.897,-0.785,-3.943,-0.195,-1.472,0.21
L.t. timidus,5,2.426,0.267,0.942,-0.028,-3.002,-0.842,-1.517,-0.547
L.t. timidus,5,2.426,0.267,0.942,-0.028,-3.002,-0.842,-1.517,-0.547
L.t. timidus,5,0.819,1.534,0.044,1.746,-1.394,-2.11,-0.619,-2.321
L.t. timidus,5,0.819,1.534,0.044,1.746,-1.394,-2.11,-0.619,-2.321
L.t. timidus,5,0.819,1.534,0.044,1.746,-1.394,-2.11,-0.619,-2.321
L.t. timidus,5,0.819,1.534,0.044,1.746,-1.394,-2.11,-0.619,-2.321
L.t. timidus,5,3.095,-0.542,-0.188,-0.967,-3.67,-0.033,-0.388,0.391
L.t. timidus,5,2.457,0.245,0.9,-0.011,-3.033,-0.821,-1.475,-0.564
L.t. timidus,5,2.362,-1.293,-0.79,-1.519,-2.937,0.718,0.215,0.944
L.t. timidus,5,3.141,-0.588,0.663,-0.103,-3.716,0.013,-1.238,-0.472
L.t. timidus,5,2.539,0.336,0.916,-0.048,-3.115,-0.911,-1.491,-0.528
L.t. timidus,5,2.539,0.336,0.916,-0.048,-3.115,-0.911,-1.491,-0.528
L.t. timidus,5,2.456,-0.062,1.335,0.623,-3.032,-0.514,-1.91,-1.198
L.t. timidus,5,2.456,-0.062,1.335,0.623,-3.032,-0.514,-1.91,-1.198
L.t. timidus,5,2.782,0.104,1.098,0.478,-3.358,-0.679,-1.674,-1.053
L.t. timidus,5,2.782,0.104,1.098,0.478,-3.358,-0.679,-1.674,-1.053
L.t. timidus,5,2.995,-0.074,1.75,0.757,-3.57,-0.501,-2.325,-1.333
L.t. timidus,5,3.044,0.004,1.039,0.227,-3.619,-0.579,-1.615,-0.802
L.t. timidus,5,3.063,-0.482,-0.13,-0.981,-3.638,-0.094,-0.445,0.406
L.t. timidus,5,0.77,1.201,-0.258,1.684,-1.345,-1.776,-0.317,-2.259
L.t. timidus,5,2.836,-0.027,0.889,0.023,-3.411,-0.548,-1.465,-0.598
L.t. timidus,5,3.283,-0.237,-0.536,-0.279,-3.859,-0.338,-0.039,-0.296
L.t. timidus,5,2.756,-0.028,0.494,-0.08,-3.331,-0.547,-1.069,-0.495
L.t. timidus,5,3.159,-0.634,1.043,-0.158,-3.734,0.059,-1.618,-0.418
L.t. timidus,5,0.684,2.759,-1.211,2.861,-1.26,-3.334,0.636,-3.436
L.t. timidus,5,3.408,0.102,-1.862,2.193,-3.984,-0.677,1.286,-2.769
L.t. timidus,5,2.896,-0.416,-0.028,-0.318,-3.472,-0.16,-0.547,-0.257
L.t. timidus,5,3.301,-0.281,0.569,0.624,-3.877,-0.294,-1.144,-1.2
L.t. timidus,5,2.544,-0.959,-0.132,-1.182,-3.119,0.384,-0.443,0.606
L.t. timidus,5,2.982,-0.142,0.573,-0.083,-3.557,-0.433,-1.148,-0.492
L.t. timidus,5,2.63,-0.263,1.23,0.624,-3.205,-0.312,-1.805,-1.199
L.t. timidus,5,3.24,-0.459,0.137,-0.633,-3.815,-0.117,-0.712,0.057
L.t. timidus,5,3.045,-0.18,0.634,-0.171,-3.62,-0.395,-1.209,-0.404
L.t. timidus,5,3.144,-0.605,0.567,-0.016,-3.719,0.03,-1.143,-0.56
L.t. timidus,5,0.283,0.397,0.592,-0.013,-0.858,-0.973,-1.167,-0.562
L.t. timidus,5,1.766,-1.001,-1.517,-1.194,-2.342,0.425,0.941,0.619
L.t. timidus,5,2.345,-0.941,-0.924,-1.323,-2.92,0.366,0.348,0.747
L.t. timidus,5,1.849,-1.542,-1.766,-1.755,-2.425,0.967,1.191,1.18
L.t. timidus,5,2.143,-0.69,-0.166,0.121,-2.718,0.115,-0.409,-0.696
L.t. timidus,5,0.974,0.417,0.241,-0.356,-1.549,-0.992,-0.816,-0.219
L.t. timidus,5,0.974,0.417,0.241,-0.356,-1.549,-0.992,-0.816,-0.219
L.t. timidus,5,0.974,0.417,0.241,-0.356,-1.549,-0.992,-0.816,-0.219
L.t. timidus,5,2.014,-1.023,-1.212,-0.917,-2.59,0.448,0.636,0.342
L.t. timidus,5,3.423,-0.101,-0.704,0.519,-3.998,-0.475,0.129,-1.095
L.t. timidus,5,3.031,-0.552,0.95,-0.085,-3.606,-0.023,-1.525,-0.49
L.t. timidus,5,2.71,-0.081,0.998,-0.486,-3.285,-0.495,-1.573,-0.089
L.t. timidus,5,2.71,-0.081,0.998,-0.486,-3.285,-0.495,-1.573,-0.089
L.t. timidus,5,3.169,0.677,-2.023,3.648,-3.744,-1.252,1.447,-4.224
L.t. timidus,5,3.169,0.677,-2.023,3.648,-3.744,-1.252,1.447,-4.224
L.t. timidus,5,3.169,0.677,-2.023,3.648,-3.744,-1.252,1.447,-4.224
L.t. timidus,5,0.449,1.487,1.312,0.143,-1.024,-2.062,-1.887,-0.718
L.t. timidus,5,3.268,-0.427,1.071,-0.025,-3.844,-0.148,-1.646,-0.55
L.t. timidus,5,0.142,0.455,-0.049,-0.292,-0.717,-1.03,-0.527,-0.283
L.t. timidus,5,2.533,-0.023,-0.176,-0.31,-3.109,-0.552,-0.4,-0.266
L.t. timidus,5,3.657,-0.366,0.917,0.473,-4.232,-0.21,-1.492,-1.048
L.t. timidus,5,2.668,-0.622,0.262,-0.869,-3.243,0.047,-0.837,0.294
L.t. timidus,5,2.924,-0.31,-0.316,-0.732,-3.499,-0.265,-0.259,0.157
L.t. timidus,5,3.24,-0.163,-1.283,1.91,-3.815,-0.413,0.708,-2.485
L.t. timidus,5,2.644,0.047,0.196,-0.207,-3.219,-0.622,-0.771,-0.368
L.t. timidus,5,3.169,-0.739,0.029,-0.549,-3.745,0.164,-0.604,-0.026
L.t. timidus,5,2.35,-0.173,-1.009,-0.476,-2.925,-0.402,0.434,-0.099
L.t. timidus,5,2.519,-0.064,-1.116,-0.518,-3.094,-0.511,0.541,-0.057
L.t. timidus,5,0.884,1.524,-0.192,2.152,-1.46,-2.099,-0.383,-2.727
L.t. timidus,5,2.5,-1.023,-0.822,-1.501,-3.075,0.447,0.246,0.926
L.t. timidus,5,0.877,0.632,0.037,-0.392,-1.452,-1.208,-0.612,-0.184
L.t. timidus,5,1.92,-1.187,-1.338,-1.441,-2.496,0.612,0.763,0.865
L.t. timidus,5,3.348,-0.097,-0.229,1.099,-3.923,-0.479,-0.347,-1.674
L.t. timidus,5,3.601,-0.784,0.766,-0.694,-4.176,0.209,-1.342,0.119
L.t. timidus,5,3.22,-0.338,0.383,-0.961,-3.795,-0.237,-0.958,0.386
L.t. timidus,5,2.967,0.066,0.607,0.318,-3.543,-0.642,-1.182,-0.893
L.t. timidus,5,2.967,0.066,0.607,0.318,-3.543,-0.642,-1.182,-0.893
L.t. timidus,5,3.203,0.205,-3.415,4.122,-3.778,-0.781,2.84,-4.697
L.t. timidus,5,3.279,-0.138,0.874,0.499,-3.854,-0.437,-1.449,-1.074
L.t. timidus,5,2.089,-0.625,-1.287,-0.833,-2.664,0.049,0.712,0.258
L.t. timidus,5,3.04,-0.011,0.584,-0.08,-3.615,-0.565,-1.159,-0.495
L.t. timidus,5,3.964,-0.362,1.874,-0.041,-4.539,-0.213,-2.45,-0.534
L.t. timidus,5,2.13,-1.304,-0.485,-1.365,-2.705,0.729,-0.091,0.789
L.t. timidus,5,0.992,1.485,2.013,0.845,-1.567,-2.06,-2.588,-1.421
L.t. timidus,5,0.486,3.375,-1.992,-0.733,-1.062,-3.951,1.416,0.157
L.t. timidus,5,0.486,3.375,-1.992,-0.733,-1.062,-3.951,1.416,0.157
L.t. timidus,5,3.139,-0.559,-0.202,-1.175,-3.715,-0.017,-0.373,0.599
L.t. timidus,5,2.434,-0.218,-0.235,-0.251,-3.009,-0.357,-0.341,-0.324
L.t. timidus,5,1.225,0.884,0.983,0.244,-1.801,-1.46,-1.559,-0.819
L.t. timidus,5,0.114,0.362,0.177,-0.528,-0.69,-0.938,-0.752,-0.047
L.t. timidus,5,0.114,0.362,0.177,-0.528,-0.69,-0.938,-0.752,-0.047
L.t. timidus,5,0.114,0.362,0.177,-0.528,-0.69,-0.938,-0.752,-0.047
L.t. timidus,5,1.897,0.782,1.631,0.441,-2.473,-1.357,-2.207,-1.016
L.t. timidus,5,3.204,0.112,-2.174,2.323,-3.779,-0.687,1.598,-2.898
L.t. timidus,5,3.036,0.231,1.56,0.587,-3.612,-0.807,-2.135,-1.162
L.t. timidus,5,3.257,-0.385,0.131,-0.638,-3.832,-0.19,-0.706,0.063
L.t. timidus,5,3.39,-0.887,0.218,-0.503,-3.965,0.311,-0.794,-0.073
L.t. timidus,5,1.08,0.781,1.002,0.204,-1.656,-1.357,-1.578,-0.779
L.t. timidus,5,3.047,-0.529,-0.524,-1.29,-3.622,-0.046,-0.052,0.714
L.t. timidus,5,3.75,-0.465,0.9,-0.616,-4.326,-0.11,-1.475,0.041
L.t. timidus,5,2.488,-0.014,0.632,-0.041,-3.063,-0.562,-1.208,-0.535
L.t. timidus,5,3.438,-0.602,0.749,0.007,-4.013,0.027,-1.324,-0.582
L.t. timidus,5,3.514,0.054,1.453,0.906,-4.09,-0.63,-2.028,-1.481
L.t. timidus,5,3.27,-0.5,1.133,0.042,-3.846,-0.075,-1.708,-0.617
L.t. timidus,5,2.805,-0.095,-0.124,-0.132,-3.38,-0.481,-0.452,-0.444
L.t. timidus,5,2.561,-0.542,-0.222,-0.561,-3.137,-0.034,-0.353,-0.014
L.t. timidus,5,1.997,0.438,0.916,0.088,-2.572,-1.013,-1.491,-0.663
L.t. timidus,5,1.997,0.438,0.916,0.088,-2.572,-1.013,-1.491,-0.663
L.t. timidus,5,1.997,0.438,0.916,0.088,-2.572,-1.013,-1.491,-0.663
L.t. timidus,5,1.965,-1.351,-1.161,-1.656,-2.54,0.775,0.586,1.081
L.t. timidus,5,1.882,-1.084,-1.557,-1.216,-2.458,0.509,0.981,0.64
L.t. timidus,5,3.538,-0.25,0.894,0.197,-4.114,-0.326,-1.469,-0.772
L.t. timidus,5,3.112,0.224,-0.839,1.882,-3.688,-0.799,0.263,-2.457
L.t. timidus,5,3.438,-0.364,0.357,-0.262,-4.013,-0.211,-0.932,-0.313
L.t. timidus,5,3.697,-0.203,1.687,-0.129,-4.273,-0.372,-2.263,-0.446
L.t. timidus,5,0.775,0.877,0.139,0.004,-1.35,-1.452,-0.714,-0.579
L.t. timidus,5,3.901,-0.284,1.292,0.393,-4.477,-0.292,-1.867,-0.968
L.t. timidus,5,3.379,-0.722,0.948,-0.517,-3.954,0.147,-1.524,-0.059
L.t. timidus,5,2.396,0.403,1.347,0.589,-2.972,-0.978,-1.922,-1.165
L.t. timidus,5,2.396,0.403,1.347,0.589,-2.972,-0.978,-1.922,-1.165
L.t. timidus,5,3.145,0.075,0.974,0.227,-3.72,-0.65,-1.549,-0.802
L.t. timidus,5,2.615,-0.591,-0.049,-0.502,-3.191,0.016,-0.526,-0.074
L.t. timidus,5,3.578,-0.289,-0.412,-0.03,-4.154,-0.286,-0.163,-0.545
L.t. timidus,5,-0.09,1.151,-0.752,0.364,-0.485,-1.726,0.176,-0.939
L.t. timidus,5,-0.09,1.151,-0.752,0.364,-0.485,-1.726,0.176,-0.939
L.t. timidus,5,0.097,1.889,-1.629,2.178,-0.673,-2.464,1.054,-2.753
L.t. timidus,5,0.097,1.889,-1.629,2.178,-0.673,-2.464,1.054,-2.753
L.t. timidus,5,1.874,-1.068,-0.987,-0.725,-2.449,0.492,0.411,0.149
L.t. timidus,5,3.379,-0.016,0.837,0.678,-3.954,-0.559,-1.413,-1.253
L.t. timidus,5,3.416,0.401,-0.318,1.8,-3.991,-0.976,-0.258,-2.375
L.t. timidus,5,3.416,0.401,-0.318,1.8,-3.991,-0.976,-0.258,-2.375
L.t. timidus,5,3.399,-0.293,0.097,-0.669,-3.975,-0.282,-0.672,0.094
L.t. timidus,5,0.575,1.218,-0.121,1.371,-1.15,-1.793,-0.454,-1.946
L.t. timidus,5,0.575,1.218,-0.121,1.371,-1.15,-1.793,-0.454,-1.946
L.t. timidus,5,0.575,1.218,-0.121,1.371,-1.15,-1.793,-0.454,-1.946
L.t. timidus,5,0.575,1.218,-0.121,1.371,-1.15,-1.793,-0.454,-1.946
L.t. timidus,5,3.132,-0.442,1.009,0.14,-3.707,-0.133,-1.584,-0.715
L.t. timidus,5,3.104,-0.067,1.152,0.335,-3.679,-0.509,-1.728,-0.91
L.t. timidus,5,3.104,-0.067,1.152,0.335,-3.679,-0.509,-1.728,-0.91
L.t. timidus,5,3.756,-0.363,1.126,-0.238,-4.331,-0.212,-1.701,-0.338
L.t. timidus,5,3.542,-0.298,0.674,-0.294,-4.117,-0.277,-1.249,-0.281
L.t. timidus,5,2.646,-0.125,-0.015,-0.28,-3.221,-0.451,-0.561,-0.295
L.t. timidus,5,2.646,-0.125,-0.015,-0.28,-3.221,-0.451,-0.561,-0.295
L.t. timidus,5,3.922,-0.207,1.636,0.48,-4.498,-0.369,-2.211,-1.055
L.t. timidus,5,2.588,-0.288,0.638,-0.401,-3.163,-0.288,-1.213,-0.174
L.t. timidus,5,2.588,-0.288,0.638,-0.401,-3.163,-0.288,-1.213,-0.174
L.t. timidus,5,3.111,-0.275,-0.144,-0.297,-3.686,-0.3,-0.431,-0.278
L.t. timidus,5,3.648,0.113,-0.491,2.828,-4.223,-0.689,-0.084,-3.403
L.t. timidus,5,2.807,-0.921,-0.178,-1.029,-3.382,0.346,-0.397,0.453
L.t. timidus,5,1.956,-1.137,-1.628,-1.215,-2.531,0.561,1.053,0.64
L.t. timidus,5,3.47,-0.358,1.216,0.221,-4.045,-0.218,-1.792,-0.796
L.t. timidus,5,3.826,-0.33,0.918,0.38,-4.401,-0.245,-1.493,-0.956
L.t. timidus,5,3.376,-0.043,1.035,0.842,-3.952,-0.532,-1.611,-1.417
L.t. timidus,5,3.459,-0.138,0.987,0.408,-4.034,-0.437,-1.562,-0.983
L.t. timidus,5,2.892,-0.892,0.282,-0.387,-3.467,0.317,-0.857,-0.189
L.t. timidus,5,3.205,-0.299,0.184,-1.016,-3.78,-0.277,-0.76,0.44
L.t. timidus,5,2.575,-0.029,0.712,0.018,-3.15,-0.546,-1.287,-0.594
L.t. timidus,5,0.821,2.355,1.878,-0.498,-1.396,-2.93,-2.453,-0.077
L.t. timidus,5,3.551,0.111,-1.582,2.362,-4.127,-0.686,1.007,-2.937
L.t. timidus,5,3.401,-0.174,0.751,-0.467,-3.976,-0.401,-1.326,-0.108
L.t. timidus,5,3.44,-0.344,0.296,-0.192,-4.016,-0.231,-0.872,-0.383
L.t. timidus,5,3.519,-0.26,0.293,0.314,-4.094,-0.315,-0.868,-0.889
L.t. timidus,5,3.426,-0.675,-0.714,-0.601,-4.001,0.099,0.138,0.025
L.t. timidus,5,3.295,-0.213,-1.473,0.306,-3.87,-0.362,0.898,-0.882
L.t. timidus,5,3.415,-0.441,-0.166,-0.172,-3.991,-0.134,-0.41,-0.403
L.t. timidus,5,2.522,-0.892,-0.521,-0.961,-3.097,0.317,-0.054,0.385
L.t. timidus,5,2.522,-0.892,-0.521,-0.961,-3.097,0.317,-0.054,0.385
L.t. timidus,5,2.522,-0.892,-0.521,-0.961,-3.097,0.317,-0.054,0.385
L.t. timidus,5,2.344,-0.312,-1.033,-0.472,-2.919,-0.263,0.457,-0.104
L.t. timidus,5,3.193,0.375,-2.056,2.743,-3.769,-0.95,1.481,-3.319
L.t. timidus,5,2.712,-0.467,-0.217,-0.594,-3.287,-0.109,-0.358,0.019
L.t. timidus,5,2.712,-0.467,-0.217,-0.594,-3.287,-0.109,-0.358,0.019
L.t. timidus,5,2.712,-0.467,-0.217,-0.594,-3.287,-0.109,-0.358,0.019
L.t. timidus,5,0.84,2.427,-1.706,0.217,-1.415,-3.002,1.131,-0.792
L.t. timidus,5,3.5,0.361,-1.202,2.44,-4.076,-0.936,0.627,-3.015
L.t. timidus,5,3.572,-0.187,0.869,-0.229,-4.147,-0.388,-1.444,-0.346
L.t. timidus,5,3.022,0.004,0.652,-0.074,-3.597,-0.579,-1.227,-0.502
L.t. timidus,5,3.022,0.004,0.652,-0.074,-3.597,-0.579,-1.227,-0.502
L.t. timidus,5,3.52,-0.146,0.66,0.149,-4.095,-0.43,-1.236,-0.725
L.t. timidus,5,1.169,0.81,-0.691,-0.33,-1.745,-1.386,0.116,-0.245
L.t. timidus,5,1.169,0.81,-0.691,-0.33,-1.745,-1.386,0.116,-0.245
L.t. timidus,5,1.172,0.701,-0.783,-0.281,-1.747,-1.277,0.208,-0.294
L.t. timidus,5,3.392,-0.112,0.776,-0.228,-3.967,-0.463,-1.351,-0.348
L.t. timidus,5,2.335,0.265,0.71,0.094,-2.91,-0.841,-1.285,-0.669
L.t. timidus,5,-0.4,1.215,-0.122,-1.01,-0.176,-1.79,-0.453,0.435
L.t. timidus,5,-0.4,1.215,-0.122,-1.01,-0.176,-1.79,-0.453,0.435
L.t. timidus,5,-0.4,1.215,-0.122,-1.01,-0.176,-1.79,-0.453,0.435
L.t. timidus,5,-0.4,1.215,-0.122,-1.01,-0.176,-1.79,-0.453,0.435
L.t. timidus,5,1.961,0.517,-0.08,-0.189,-2.536,-1.093,-0.495,-0.387
L.t. timidus,5,1.961,0.517,-0.08,-0.189,-2.536,-1.093,-0.495,-0.387
L.t. timidus,5,3.049,0.158,1.535,0.608,-3.624,-0.733,-2.11,-1.183
L.t. timidus,5,3.049,0.158,1.535,0.608,-3.624,-0.733,-2.11,-1.183
L.t. timidus,5,2.819,-1.08,0.528,-0.631,-3.395,0.504,-1.104,0.056
L.t. timidus,5,3.049,0.158,1.535,0.608,-3.624,-0.733,-2.11,-1.183
L.t. timidus,5,3.342,-0.606,0.255,-0.141,-3.917,0.031,-0.831,-0.434
L.t. timidus,5,3.555,0.204,0.601,1.581,-4.13,-0.78,-1.176,-2.156
L.t. timidus,5,3.76,-0.197,1.444,0.421,-4.336,-0.378,-2.02,-0.996
L.t. timidus,5,3.561,0.289,0.414,1.78,-4.136,-0.864,-0.99,-2.355
L.t. timidus,5,3.326,-0.326,0.579,-0.694,-3.901,-0.249,-1.154,0.119
L.t. timidus,5,3.424,-0.054,1.247,0.788,-3.999,-0.521,-1.822,-1.363
L.t. timidus,5,3.257,-0.258,0.625,-0.453,-3.832,-0.317,-1.2,-0.123
L.t. timidus,5,3.436,0.037,0.006,1.524,-4.011,-0.612,-0.581,-2.1
L.t. timidus,5,3.275,-0.001,-2.038,1.252,-3.85,-0.574,1.462,-1.827
L.t. timidus,5,3.434,0.147,-0.511,0.86,-4.009,-0.722,-0.065,-1.436
L.t. timidus,5,3.304,0.018,1.128,0.466,-3.879,-0.594,-1.704,-1.041
L.t. timidus,5,3.304,0.018,1.128,0.466,-3.879,-0.594,-1.704,-1.041
L.t. timidus,5,3.304,0.018,1.128,0.466,-3.879,-0.594,-1.704,-1.041
L.t. timidus,5,2.942,0.176,0.661,-0.077,-3.517,-0.751,-1.236,-0.498
L.t. timidus,5,2.942,0.176,0.661,-0.077,-3.517,-0.751,-1.236,-0.498
L.t. timidus,5,2.942,0.176,0.661,-0.077,-3.517,-0.751,-1.236,-0.498
L.t. timidus,5,2.083,2.197,-1.245,1.625,-2.658,-2.772,0.669,-2.2
L.t. timidus,5,2.083,2.197,-1.245,1.625,-2.658,-2.772,0.669,-2.2
L.t. timidus,5,2.083,2.197,-1.245,1.625,-2.658,-2.772,0.669,-2.2
L.t. timidus,5,3.464,-0.341,1.23,0.126,-4.039,-0.234,-1.805,-0.701
L.t. timidus,5,0.401,4.698,-1.886,-1.739,-0.976,-5.273,1.31,1.164
L.t. timidus,5,3.296,-0.274,1.018,0.685,-3.871,-0.301,-1.594,-1.26
L.t. timidus,5,1.412,0.768,-0.717,-0.387,-1.988,-1.343,0.142,-0.188
L.t. timidus,5,3.293,0.461,1.412,0.796,-3.869,-1.036,-1.988,-1.372
L.t. timidus,5,2.802,-0.197,0.281,-0.547,-3.378,-0.378,-0.857,-0.029
L.t. timidus,5,2.802,-0.197,0.281,-0.547,-3.378,-0.378,-0.857,-0.029
L.t. timidus,5,1.357,1.262,-0.251,-0.583,-1.932,-1.837,-0.325,0.008
L.t. timidus,5,1.357,1.262,-0.251,-0.583,-1.932,-1.837,-0.325,0.008
L.t. timidus,5,1.357,1.262,-0.251,-0.583,-1.932,-1.837,-0.325,0.008
L.t. timidus,5,3.377,-0.178,0.23,-0.099,-3.952,-0.398,-0.806,-0.476
L.t. timidus,5,3.478,-0.238,0.945,-0.181,-4.053,-0.337,-1.52,-0.394
L.t. timidus,5,3.176,0.147,-0.446,1.421,-3.751,-0.723,-0.129,-1.997
L.t. timidus,5,3.964,-0.398,0.681,-0.496,-4.539,-0.178,-1.257,-0.079
L.t. timidus,5,3.984,0.177,0.234,2.274,-4.56,-0.752,-0.809,-2.85
L.t. timidus,5,0.891,1.081,0.101,-0.982,-1.466,-1.656,-0.676,0.407
L.t. timidus,5,3.12,-0.329,-1.489,0.716,-3.695,-0.246,0.914,-1.291
L.t. timidus,5,3.586,-0.331,0.634,-0.703,-4.162,-0.244,-1.21,0.128
L.t. timidus,5,0.719,1.369,0.471,-0.471,-1.295,-1.944,-1.046,-0.104
L.t. timidus,5,0.719,1.369,0.471,-0.471,-1.295,-1.944,-1.046,-0.104
