(Sub-)species,Code,PC1,PC2,PC3,PC4,pca1.g1,pca2.g2,pca3.g2,pca4.g2
L.t. timidus,5,0.417,0.09,1.493,0.329,-0.993,-0.666,-2.069,-0.904
L.t. timidus,5,-0.355,2.536,-0.653,0.096,-0.221,-3.111,0.078,-0.671
L.t. timidus,5,-0.355,2.536,-0.653,0.096,-0.221,-3.111,0.078,-0.671
L.t. timidus,5,-0.355,2.536,-0.653,0.096,-0.221,-3.111,0.078,-0.671
L.t. timidus,5,0.599,0.325,1.36,0.32,-1.174,-0.901,-1.935,-0.895
L.t. timidus,5,0.599,0.325,1.36,0.32,-1.174,-0.901,-1.935,-0.895
L.t. timidus,5,-0.263,-0.629,-0.628,-0.396,-0.312,0.054,0.053,-0.179
L.t. timidus,5,-0.263,-0.629,-0.628,-0.396,-0.312,0.054,0.053,-0.179
L.t. timidus,5,-0.032,-0.999,0.563,-0.6,-0.543,0.423,-1.138,0.025
L.t. timidus,5,0.544,0.37,1.311,-0.247,-1.119,-0.946,-1.886,-0.329
L.t. timidus,5,0.55,-0.148,1.282,0.432,-1.125,-0.427,-1.858,-1.007
L.t. timidus,5,0.55,-0.148,1.282,0.432,-1.125,-0.427,-1.858,-1.007
L.t. timidus,5,0.55,-0.148,1.282,0.432,-1.125,-0.427,-1.858,-1.007
L.t. timidus,5,0.786,1.77,2.258,0.671,-1.362,-2.345,-2.833,-1.246
L.t. timidus,5,0.55,-1.226,-1.239,-0.943,-1.125,0.651,0.664,0.367
L.t. timidus,5,0.55,-1.226,-1.239,-0.943,-1.125,0.651,0.664,0.367
L.t. timidus,5,0.455,1.071,1.051,0.026,-1.03,-1.646,-1.626,-0.601
L.t. timidus,5,0.966,0.881,1.542,-0.194,-1.541,-1.456,-2.117,-0.381
L.t. timidus,5,0.966,0.881,1.542,-0.194,-1.541,-1.456,-2.117,-0.381
L.t. timidus,5,0.966,0.881,1.542,-0.194,-1.541,-1.456,-2.117,-0.381
L.t. timidus,5,0.997,-0.831,-0.988,-0.624,-1.572,0.256,0.412,0.049
L.t. timidus,5,0.644,-0.209,1.222,0.421,-1.219,-0.366,-1.797,-0.996
L.t. timidus,5,-1.004,3.009,-1.983,0.608,0.429,-3.584,1.408,-1.183
L.t. timidus,5,-1.004,3.009,-1.983,0.608,0.429,-3.584,1.408,-1.183
L.t. timidus,5,0.321,1.676,0.423,-0.883,-0.896,-2.251,-0.998,0.308
L.t. timidus,5,-0.232,1.264,-0.364,-0.651,-0.343,-1.84,-0.212,0.076
L.t. timidus,5,-0.232,1.264,-0.364,-0.651,-0.343,-1.84,-0.212,0.076
L.t. timidus,5,0.482,1.508,0.416,-0.957,-1.057,-2.083,-0.991,0.382
L.t. timidus,5,1.085,1.067,2.018,0.574,-1.66,-1.643,-2.593,-1.149
L.t. timidus,5,1.622,-1.022,0.881,-0.088,-2.198,0.447,-1.456,-0.487
L.t. timidus,5,0.193,-0.541,0.275,-0.196,-0.768,-0.034,-0.85,-0.38
L.t. timidus,5,2.095,-0.689,1.351,0.417,-2.67,0.113,-1.926,-0.992
L.t. timidus,5,1.219,-0.824,-1.058,-0.678,-1.794,0.249,0.483,0.102
L.t. timidus,5,1.219,-0.824,-1.058,-0.678,-1.794,0.249,0.483,0.102
L.t. timidus,5,0.476,-0.181,0.706,0.247,-1.052,-0.394,-1.281,-0.823
L.t. timidus,5,0.601,1.145,2.043,-0.038,-1.176,-1.72,-2.618,-0.538
L.t. timidus,5,0.595,-0.377,0.612,-0.192,-1.171,-0.198,-1.187,-0.383
L.t. timidus,5,0.595,-0.377,0.612,-0.192,-1.171,-0.198,-1.187,-0.383
L.t. timidus,5,1.145,0.92,2.451,0.806,-1.72,-1.495,-3.026,-1.381
L.t. timidus,5,0.622,0.893,1.552,0.081,-1.198,-1.468,-2.127,-0.656
L.t. timidus,5,0.649,0.989,1.553,0.089,-1.225,-1.564,-2.128,-0.665
L.t. timidus,5,-1.178,1.862,1.063,-0.478,0.603,-2.438,-1.639,-0.098
L.t. timidus,5,-0.408,3.895,-1.287,0.269,-0.167,-4.47,0.712,-0.844
L.t. timidus,5,1.216,-1.395,0.116,-0.058,-1.792,0.82,-0.691,-0.517
L.t. timidus,5,0.887,0.884,1.513,0.159,-1.462,-1.459,-2.088,-0.734
L.t. timidus,5,0.887,0.884,1.513,0.159,-1.462,-1.459,-2.088,-0.734
L.t. timidus,5,0.887,0.884,1.513,0.159,-1.462,-1.459,-2.088,-0.734
L.t. timidus,5,-1.869,0.823,-1.045,0.246,1.293,-1.398,0.469,-0.821
L.t. timidus,5,1.198,1.782,-0.129,2.091,-1.773,-2.357,-0.446,-2.667
L.t. timidus,5,0.858,1.143,1.578,0.12,-1.433,-1.718,-2.153,-0.695
L.t. timidus,5,-0.007,2.471,-1.648,0.55,-0.568,-3.046,1.073,-1.125
L.t. timidus,5,-0.007,2.471,-1.648,0.55,-0.568,-3.046,1.073,-1.125
L.t. timidus,5,1.142,0.844,-1.793,3.416,-1.717,-1.419,1.217,-3.992
L.t. timidus,5,-1.24,1.739,-0.735,0.988,0.665,-2.314,0.16,-1.563
L.t. timidus,5,-1.24,1.739,-0.735,0.988,0.665,-2.314,0.16,-1.563
L.t. timidus,5,-1.24,1.739,-0.735,0.988,0.665,-2.314,0.16,-1.563
L.t. timidus,5,-0.007,4.276,-1.322,-2.329,-0.568,-4.851,0.746,1.753
L.t. timidus,5,0.147,-1.172,-0.283,-1.094,-0.723,0.596,-0.292,0.519
L.t. timidus,5,0.046,3.206,-1.727,0.44,-0.621,-3.781,1.152,-1.016
L.t. timidus,5,1.27,-0.165,1.554,1.25,-1.845,-0.41,-2.13,-1.825
L.t. timidus,5,1.27,-0.165,1.554,1.25,-1.845,-0.41,-2.13,-1.825
L.t. timidus,5,1.306,0.264,1.822,0.756,-1.881,-0.839,-2.397,-1.331
L.t. timidus,5,1.249,0.585,0.076,0.421,-1.824,-1.16,-0.652,-0.996
L.t. timidus,5,1.043,1.028,-1.483,1.314,-1.618,-1.603,0.907,-1.889
L.t. timidus,5,1.043,1.028,-1.483,1.314,-1.618,-1.603,0.907,-1.889
L.t. timidus,5,0.871,-0.006,1.27,0.327,-1.446,-0.569,-1.845,-0.903
