pair,pca1-pca2,pca1-pca3,pca1-pca4,pca2-pca3,pca2-pca4,pca3-pca4
lth-ltsc,,,,,,
lth-ltsy,,,,,,
lth-ltt,,,,,,
lth-ltv,,,,,,
ltsc-ltsy,,,,,,
ltsc-ltt,,,,,,
ltsc-ltv,,,,,,
ltsy-ltt,,,,,,
ltsy-ltv,,,,,,
ltt-ltv,,,,,,
